step,loss,fit,kl,normW,logdetV,sigma2,rhoW,val_bound
56,-1308.9245982969762,-1314.835704457147,5.718390637166602,0.5032177093064354,-16.741098425905022,0.12042315532909335,0.08035682483500675,nan
57,-1309.6251374701687,-1315.5021995442003,5.683936942718169,0.5023378132168158,-16.776598108954754,0.12030967920528125,0.0800091956364883,nan
58,-1310.1805865052936,-1316.0632681182028,5.6891437333782084,0.5016177274076388,-16.81208329313039,0.12019630223653327,0.07962225663241576,nan
59,-1310.839855389595,-1316.7157255586749,5.681919956581723,0.5008682484240758,-16.847574766764676,0.12008302429549177,0.07931507582130877,nan
60,-1311.284012382231,-1317.2400181014427,5.761642783600502,0.5001499117575132,-16.883038651096,0.11996984546458592,0.07912703014996547,nan
61,-1311.848414959042,-1317.8339013997524,5.790712158625658,0.49935703459688624,-16.918503790455585,0.11985676512688458,0.0791180122072658,nan
62,-1312.4471549998607,-1318.4223126485058,5.779970414367398,0.4986392699755603,-16.953969440099492,0.11974378324446311,0.07919027218725287,nan
63,-1312.9654640835101,-1319.0082772637306,5.847212986740114,0.49791915796191044,-16.989431522651948,0.11963089962542907,0.07933635082646415,nan
64,-1313.6264619852784,-1319.6207848805493,5.798306309997319,0.49736025859387223,-17.02490432827382,0.11951811429133413,0.07949911149984988,nan
65,-1314.417349503862,-1320.2613614017569,5.647581109946561,0.4966836193618431,-17.06038228851097,0.11940542741117462,0.07975917820638295,nan
66,-1315.046748554403,-1320.8491808699077,5.605583941327203,0.4961767231141715,-17.095853731988225,0.11929283946797577,0.080112962813969,nan
67,-1315.5157794140127,-1321.449748442711,5.7366980018798275,0.4959126869653188,-17.13133882360605,0.11918035058447814,0.08035455872272722,nan
68,-1316.1204590082757,-1322.0223697547367,5.7042141905310935,0.4958014637004481,-17.166804722086916,0.11906796000180073,0.080710439791296,nan
69,-1316.6739189409009,-1322.591770350978,5.719723433022031,0.495973907687574,-17.20228643062496,0.11895566809574377,0.08086826572445853,nan
70,-1317.3386770736017,-1323.2408650388554,5.7036260318595,0.49626067305937005,-17.237783918084297,0.11884347437980215,0.08105750569234797,nan
71,-1317.9052359414236,-1323.8146988288333,5.710469114261926,0.4964429121479816,-17.273271593494385,0.11873137922066175,0.08152422198168632,nan
72,-1318.3894353398593,-1324.3778294209974,5.788966698558094,0.4967113302983104,-17.308757787539786,0.11861938226416176,0.08184135195419319,nan
73,-1319.0004004016178,-1324.9649204989628,5.764660125312707,0.4969192649000671,-17.34425272356117,0.11850748303230658,0.0821834701421399,nan
74,-1319.6236184681006,-1325.615084492297,5.791172246982644,0.4971734562217332,-17.3797659166283,0.11839568174837803,0.08237805420568642,nan
75,-1320.3819061970319,-1326.220726282225,5.6380936336166645,0.4973795572351756,-17.415258396314805,0.11828397835868006,0.08231826392158159,nan
76,-1320.7763577335115,-1326.7414889753304,5.7639692352844705,0.49772189388617794,-17.450758637009372,0.11817237353046453,0.08252534139886415,nan
77,-1321.4511107700725,-1327.3716245545647,5.718911229606671,0.4983034180656259,-17.486271236728612,0.11806086597508264,0.08297043308569116,nan
78,-1322.1021532481777,-1327.9904174454227,5.686221518990159,0.4988549377035499,-17.521791067952872,0.11794945627898591,0.08346199778208649,nan
79,-1322.6423484188883,-1328.567949415296,5.723117635324849,0.49943097458356017,-17.557309646703374,0.11783814458466392,0.08411047233426053,nan
80,-1323.2094635050514,-1329.1666986479815,5.754304784687765,0.5003160061204697,-17.592832093567456,0.11772693055013399,0.08489381146492937,nan
81,-1323.8605873941365,-1329.7813383429946,5.7173736184289545,0.5011986420388431,-17.628347882656186,0.1176158139800038,0.0857168511114489,nan
82,-1324.308254903865,-1330.3047459789157,5.792663788133677,0.5022258301818978,-17.663861826756673,0.11750479507977749,0.08635943268952505,nan
83,-1324.998406007731,-1330.9555802207958,5.752899447227131,0.5031106972222766,-17.699398351113345,0.11739387337199643,0.08671782187889533,nan
84,-1325.7282521760337,-1331.6010171320384,5.668044360168179,0.5039114056138759,-17.734930300048987,0.1172830490412934,0.08682523223391753,nan
85,-1326.147049046968,-1332.128409593362,5.776196862019775,0.5045818448203664,-17.770444984404023,0.11717232251799134,0.08682053865446666,nan
86,-1326.8997077298675,-1332.8040322628176,5.698718889620405,0.5051873986052863,-17.805967327524264,0.1170616932429297,0.08643271947778756,nan
87,-1327.3207060436173,-1333.3207792287217,5.7940236923334885,0.5058981407135621,-17.841462945655877,0.11695116159439925,0.08591019082673022,nan
88,-1328.046101453906,-1333.9657992635578,5.713205062962778,0.5065741091990843,-17.87696008448615,0.11684072675305227,0.08531511128912252,nan
89,-1328.7516379589001,-1334.5939159067084,5.635344823720814,0.5071087410815154,-17.91244914650086,0.11673038927267598,0.08468866144095363,nan
90,-1329.1614991328127,-1335.1487553571815,5.779876194999563,0.5079553462287116,-17.947947263680838,0.11662014994121572,0.08402188446241679,nan
91,-1329.8159498504383,-1335.7483693431532,5.724593553701137,0.508753257387471,-17.983436859944376,0.11651000772566814,0.08344268852963695,nan
92,-1330.4396617197117,-1336.34548101486,5.697546284965992,0.5096063220556659,-18.018921689169083,0.11639996260361893,0.08282394129317622,nan
93,-1330.782696305766,-1336.8459537875065,5.854541226329235,0.5102638263491499,-18.054412121594993,0.11629001479267448,0.08226881826264869,nan
94,-1331.5128334593376,-1337.5045027363371,5.782508099484071,0.5109826172462152,-18.08993044358261,0.11618016303223447,0.08169698270218195,nan
95,-1332.1239684040972,-1338.0950331535723,5.761463735144702,0.5114453824293086,-18.12545405222938,0.11607040806415697,0.08121291455654202,nan
96,-1332.7239247141902,-1338.6834656429219,5.749503807038558,0.5117166092346138,-18.160987103288065,0.11596074977487593,0.08104710891493924,nan
97,-1333.4228311560246,-1339.3359207682565,5.702612609143717,0.5121545443100766,-18.19654389937402,0.11585118830735582,0.08133370836000266,nan
98,-1334.0242455371706,-1339.9471104076047,5.711949725909949,0.5125070590036372,-18.232095345423957,0.11574172382622812,0.08150072654958261,nan
99,-1334.5682772467787,-1340.5007353629542,5.721106893108049,0.5127645535392324,-18.26763136476399,0.1156323562158513,0.08159015898046308,nan
100,-1335.3097413502574,-1341.154926973099,5.633397109316187,0.5130696972016281,-18.30318086196377,0.11552308536826604,0.08185219094904442,nan
101,-1335.7025236819718,-1341.668629181121,5.753880009568227,0.51336076914582,-18.338722362120837,0.11541391173402415,0.08205495243864026,nan
102,-1336.2759884282973,-1342.2704658192797,5.78181641047681,0.5135642074610609,-18.37428400225184,0.11530483451090455,0.08221521703536777,nan
103,-1336.9267447971754,-1342.868510738589,5.728668563113326,0.5138046014198347,-18.409852096781627,0.11519585334109983,0.08254669864311655,nan
104,-1337.5098580654847,-1343.4789900175522,5.755598938352789,0.5139969023486624,-18.445433123957848,0.1150869685736127,0.08298846802122986,nan
105,-1338.1593535693128,-1344.1199855880832,5.746661377500743,0.5142824781326409,-18.481014562844262,0.11497817997680475,0.08314338547410807,nan
106,-1338.7026135045924,-1344.6676554993492,5.750634981174535,0.5145178736153488,-18.516571898461095,0.11486948758108506,0.08331544988484857,nan
107,-1339.4844660941944,-1345.3308770444673,5.631571874029647,0.5145348380429824,-18.552138969279916,0.11476089141237944,0.08341526243796908,nan
108,-1339.9176794815833,-1345.8606964928858,5.727751801796327,0.5142668650376933,-18.58769510390674,0.11465239203579991,0.08346271511333726,nan
109,-1340.6039721846082,-1346.4860224055033,5.666356789817521,0.5140925384396314,-18.623258964160936,0.11454398859409586,0.08342392236703579,nan
110,-1341.0599142830627,-1347.0849113612278,5.808870604701095,0.5141401701441827,-18.65883846785606,0.11443568169134062,0.08338661440078493,nan
111,-1341.6398661417268,-1347.6376904162014,5.781268272787642,0.5140215782218067,-18.694404655910528,0.11432747052970613,0.08335513528260896,nan
112,-1342.1794689728722,-1348.2155534529154,5.819094461718317,0.5141106256571033,-18.7299834599115,0.11421935498378118,0.08322762451445855,nan
